1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
856,854,3,No,706,Glq,150,548,Rfn,2003,1710,Gd,8450.0,65.0,196.0,61,5,7,856,2003,2003,208500
1262,0,3,Gd,978,Alq,284,460,Rfn,1976,1262,TA,9600.0,80.0,0.0,0,8,6,1262,1976,1976,181500
920,866,3,Mn,486,Glq,434,608,Rfn,2001,1786,Gd,11250.0,68.0,162.0,42,5,7,920,2001,2002,223500
961,0,0,No,216,Alq,540,642,Unf,1998,1717,Gd,9550.0,60.0,0.0,35,5,7,756,1915,1970,140000
1145,0,4,Av,655,Glq,490,836,Rfn,2000,2198,Gd,14260.0,84.0,350.0,84,5,8,1145,2000,2000,250000
796,566,1,No,732,Glq,64,480,Unf,1993,1362,TA,14115.0,85.0,0.0,30,5,5,796,1993,1995,143000
1694,0,3,Av,1369,Glq,317,636,Rfn,2004,1694,Gd,10084.0,75.0,186.0,57,5,8,1686,2004,2005,307000
1107,983,3,Mn,859,Alq,216,484,None,1973,2090,TA,10382.0,69.0,240.0,204,6,7,1107,1973,1973,200000
1022,752,2,No,0,Unf,952,468,Unf,1931,1774,TA,6120.0,51.0,0.0,0,5,7,952,1931,1950,129900
1077,0,2,No,851,Glq,140,205,Rfn,1939,1077,TA,7420.0,50.0,0.0,4,6,5,991,1939,1950,118000
1040,0,3,No,906,Rec,134,384,Unf,1965,1040,TA,11200.0,70.0,0.0,0,5,5,1040,1965,1965,129500
1182,1142,4,No,998,None,177,736,Fin,2005,2324,Ex,11924.0,85.0,286.0,21,5,9,1175,2005,2006,345000
912,0,2,No,737,Alq,175,352,None,1962,912,TA,12968.0,69.0,0.0,0,6,5,912,1962,1962,144000
1494,0,3,Av,0,Unf,1494,840,Rfn,2006,1494,Gd,10652.0,91.0,306.0,33,5,7,1494,2006,2007,279500
1253,0,0,No,733,Blq,520,352,Rfn,1960,1253,TA,10920.0,69.0,212.0,213,5,6,1253,1960,1960,157000
854,0,2,No,0,Unf,832,576,Unf,1991,854,TA,6120.0,51.0,0.0,112,8,7,832,1929,2001,132000
1004,0,2,No,578,Alq,426,480,Fin,1970,1004,TA,11241.0,69.0,180.0,0,7,6,1004,1970,1970,149000
1296,0,2,None,0,None,0,516,Unf,1967,1296,TA,10791.0,72.0,0.0,0,5,4,0,1967,1967,90000
1114,0,0,No,646,Glq,468,576,Unf,2004,1114,Gd,13695.0,66.0,0.0,102,5,5,1114,2004,2004,159000
1339,0,3,No,504,Lwq,525,294,Unf,1958,1339,TA,7560.0,70.0,0.0,0,6,5,1029,1958,1965,139000
1158,1218,4,Av,0,Unf,1158,853,Rfn,2005,2376,Gd,14215.0,101.0,380.0,154,5,8,1158,2005,2006,325300
1108,0,3,No,0,Unf,637,280,Unf,1930,1108,Gd,7449.0,57.0,0.0,0,7,7,637,1930,1950,139400
1795,0,3,No,0,None,1777,534,Rfn,2002,1795,Gd,9742.0,75.0,281.0,159,5,8,1777,2002,2002,230000
1060,0,3,No,840,Glq,200,572,None,1976,1060,TA,4224.0,44.0,0.0,110,7,5,1040,1976,1976,129900
1060,0,3,Mn,188,Rec,204,270,Unf,1968,1060,Gd,8246.0,69.0,0.0,90,8,5,1060,1968,2001,154000
1600,0,3,No,0,Unf,1566,890,Rfn,2007,1600,Gd,14230.0,110.0,640.0,56,5,8,1566,2007,2007,256300
900,0,3,Mn,234,None,180,576,Unf,2005,900,Gd,7200.0,60.0,0.0,32,7,5,900,1951,2000,134800
1704,0,3,No,1218,Glq,486,772,None,2008,1704,Gd,11478.0,98.0,200.0,50,5,8,1704,2007,2008,306000
1600,0,2,Gd,1277,Blq,207,319,Rfn,1957,1600,TA,16321.0,47.0,0.0,258,6,5,1484,1957,1997,207500
520,0,1,No,0,Unf,520,240,Unf,1920,520,Fa,6324.0,60.0,0.0,0,6,4,520,1927,1950,68500
649,668,3,No,0,Unf,649,250,Unf,1920,1317,TA,8500.0,50.0,0.0,54,4,4,649,1920,1950,40000
1228,0,3,No,0,Unf,1228,271,Unf,1966,1228,Gd,8544.0,69.0,0.0,65,6,5,1228,1966,2006,149350
1234,0,3,Av,0,Unf,1234,484,Rfn,2007,1234,Gd,11049.0,85.0,0.0,30,5,8,1234,2007,2007,179900
1700,0,4,No,1018,Rec,380,447,Rfn,1959,1700,Gd,10552.0,70.0,0.0,38,5,5,1398,1959,1959,165500
1561,0,2,No,1153,Glq,408,556,Fin,2005,1561,Ex,7313.0,60.0,246.0,47,5,9,1561,2005,2005,277500
1132,1320,4,Av,0,Unf,1117,691,None,2004,2452,Gd,13418.0,108.0,132.0,32,5,8,1117,2004,2005,309000
1097,0,3,No,0,Unf,1097,672,Unf,1995,1097,TA,10859.0,112.0,0.0,64,5,5,1097,1994,1995,145000
1297,0,0,No,1213,Rec,84,498,Fin,1954,1297,TA,8532.0,74.0,650.0,0,6,5,1297,1954,1990,153000
1057,0,3,No,731,Glq,326,246,Unf,1953,1057,Gd,7922.0,68.0,0.0,52,7,5,1057,1953,2007,109000
1152,0,0,None,0,None,0,0,None,0,1152,Fa,6040.0,65.0,0.0,0,5,4,0,1955,1955,82000
1324,0,3,No,643,Rec,445,440,None,1965,1324,TA,8658.0,84.0,101.0,138,5,6,1088,1965,1965,160000
1328,0,2,Gd,967,Blq,383,308,None,1959,1328,TA,16905.0,115.0,0.0,104,6,5,1350,1959,1959,170000
884,0,2,Av,747,Alq,0,504,Rfn,1983,884,Gd,9180.0,69.0,0.0,0,7,5,840,1983,1983,144000
938,0,3,Av,280,Lwq,167,308,Unf,1977,938,TA,9200.0,69.0,0.0,0,6,5,938,1975,1980,130250
1150,0,3,No,179,Alq,465,300,Rfn,1959,1150,TA,7945.0,70.0,0.0,0,6,5,1150,1959,1959,141000
1752,0,2,No,456,Glq,1296,576,Rfn,2005,1752,Ex,7658.0,61.0,412.0,82,5,9,1752,2005,2005,319900
1518,631,1,No,1351,Glq,83,670,Rfn,2003,2149,Gd,12822.0,48.0,0.0,43,5,7,1434,2003,2003,239686
1656,0,3,Av,24,Glq,1632,826,None,2006,1656,Gd,11096.0,84.0,0.0,146,5,8,1656,2006,2006,249700
736,716,2,No,0,Unf,736,0,None,0,1452,TA,4456.0,33.0,0.0,0,5,4,736,1920,2008,113000
955,0,3,No,763,Blq,192,386,Unf,1966,955,TA,7742.0,66.0,0.0,0,7,5,955,1966,1966,127000
794,676,0,Av,182,Glq,612,388,Fin,1997,1470,TA,13869.0,69.0,0.0,75,6,6,794,1997,1997,177000
816,0,3,No,0,Unf,816,528,Unf,1985,1176,TA,6240.0,52.0,0.0,0,6,6,816,1934,1950,114500
