Feature,Importance
num__OverallQual,0.5466508112451791
num__GrLivArea,0.1291420607363088
num__GarageArea,0.051851473494033275
num__1stFlrSF,0.04635470336035656
num__OverallScore,0.04123679385077474
num__BsmtFinSF1,0.030175583413412553
num__LotArea,0.023012813738788364
num__Age,0.018038507528872778
num__YearBuilt,0.016562095182378108
num__GarageYrBlt,0.016037693071442743
num__YearRemodAdd,0.013461777185642568
num__LotFrontage,0.011694530078217183
num__BsmtUnfSF,0.0093406584260885
num__2ndFlrSF,0.008909459995913124
num__OpenPorchSF,0.008531706127504595
num__LivingLotRatio,0.00837283357665118
num__FinishedBsmtRatio,0.007158363166463957
num__OverallCond,0.004490028589426189
num__MasVnrArea,0.004175120827836561
num__BedroomAbvGr,0.004136974597559292
cat__HasPorch_1,0.0006660118071498287
