Feature,Importance
num__OverallQual,0.5466615586275366
num__GrLivArea,0.1291702405162758
num__GarageArea,0.052238277701749
num__1stFlrSF,0.0461217505557579
num__OverallScore,0.0413986750772727
num__BsmtFinSF1,0.0301652501121838
num__LotArea,0.0231885808566714
num__YearBuilt,0.0186565388249915
num__Age,0.0159832791380426
num__GarageYrBlt,0.0157393580699536
num__YearRemodAdd,0.0134506370996239
num__LotFrontage,0.0117319538333042
num__2ndFlrSF,0.0093293751748858
num__BsmtUnfSF,0.0091879789955367
num__OpenPorchSF,0.0085060822022468
num__LivingLotRatio,0.0082933719624484
num__FinishedBsmtRatio,0.0069954874483054
num__OverallCond,0.0044041970378438
num__BedroomAbvGr,0.0041202511574335
num__MasVnrArea,0.0040419593444545
cat__HasPorch,0.0006151962634811
