Feature,Importance
num__OverallQual,0.78373736
num__OverallScore,0.060584873
num__GrLivArea,0.04517079
num__YearBuilt,0.01642034
num__1stFlrSF,0.01566076
num__GarageArea,0.012906117
num__BsmtFinSF1,0.012401606
num__YearRemodAdd,0.009392423
num__GarageYrBlt,0.0088106925
num__OverallCond,0.00784569
num__LotArea,0.005632211
num__BedroomAbvGr,0.0040858267
num__2ndFlrSF,0.0037593716
num__OpenPorchSF,0.0035562934
num__FinishedBsmtRatio,0.0025512178
num__LotFrontage,0.0022892684
num__LivingLotRatio,0.0021894032
num__BsmtUnfSF,0.0019055206
num__MasVnrArea,0.0011001399
num__Age,0.0
cat__HasPorch,0.0
